.ITEM;Ingresos Brutos Venta de Productos;Ingresos Brutos Servicios  ;Ingresos Brutos Arrendamientos;TOTAL INGRESOS BRUTOS;Devol. Rebajas. Dtos en Ventas Productos;Devol. Rebajas. Dtos en Ventas Servicios;Devol. Rebajas. Dtos en Arrendamientos;TOTAL DE LAS DEDUCCIONES EN VENTAS;Total Deducciones vs Ingresos Brutos;TOTAL INGRESOS NETOS;Costo de los Productos Vendidos;Otros Costos en la Prestación de Servicios;Costo Prestación de Servicios Arrendam.;TOTAL COSTOS;Costos vs Ingresos Netos;UTILIDAD  BRUTA;Margen Bruto;GASTOS OPERACIONALES;Gastos de Operación;Gastos de Ventas;Gastos de Administración;Total Gastos Operacionales vs Ingresos Netos;EBITDA;Margen EBITDA;      Depreciación;      Amortización ;UTILIDAD OPERACIONAL;Margen Operacional;Gastos No Operacionales;Gastos Financieros;Corrección Monetaria;Ingresos No Operacionales / Otros;UTILIDAD ANTES DE IMPUESTOS;Utilidad Antes de Impuesto vs Ingresos Netos;UTILIDAD NETA;Margen Neto
ENERO;296745.4044;1155497.945;16063.78033;1468307.13;18642.45853;77817.70029;4256.85523;100717.0141;0.068593969;1367590.116;137278.4832;235237.8005;0;372516.2837;0.272388839;995073.8325;0.727611161;912531.8015;444608.6303;151595.1472;316328.024;0.667255335;82542.03099;0.060355826;19475.16872;11338.67206;51728.19021;0.037824338;41822.71097;205688.892;0;13685.70541;-182097.7073;-0.133152255;-182097.7073;-0.133152255
FEBRERO;368276.187;1296249.795;21376.665;1685902.647;14356.6789;59078.20069;8799.9999;82234.87949;0.048777953;1603667.767;158763.7967;211883.4177;0;370647.2144;0.231124689;1233020.553;0.768875311;957300.5998;471572.944;167877.7892;317849.8666;0.596944467;275719.953;0.171930844;19405.41196;15038.67206;241275.8689;0.150452528;43861.19941;191923.7999;0;15365.9132;20856.78286;0.013005676;20856.78286;0.013005676
MARZO;359187.1;1248080.681;21276.45233;1628544.233;20420.35775;73730.84317;6810.43413;100961.6351;0.061995022;1527582.598;158842.0661;222770.8656;0;381612.9316;0.249814925;1145969.667;0.750185075;982975.2865;478451.0111;174937.9586;329586.3167;0.643484213;162994.3802;0.106700862;19620.65363;15038.67206;128335.0545;0.084011859;49519.50863;189875.6846;0;23861.55398;-87198.58476;-0.05708273;-87198.58476;-0.05708273
Q1;1024208.691;3699828.421;58716.89766;4782754.01;53419.49518;210626.7442;19867.28926;283913.5287;0.179366944;4498840.481;454884.346;669892.0838;0;1124776.43;0.753328453;3374064.053;2.246671547;2852807.688;1394632.585;494410.895;963764.2073;1.907684015;521256.3642;0.338987532;58501.23431;41416.01618;421339.1136;0.272288725;135203.419;587488.3765;0;52913.17259;-248439.5092;-0.177229309;-248439.5092;-0.177229309
ABRIL;279393.578;1361150.846;9390.806;1649935.23;15517.60057;86373.96128;5675.8559;107567.4178;0.065194934;1542367.812;146530.7251;183501.8516;0;330032.5766;0.213977868;1212335.235;0.786022132;1002722.811;460113.402;205206.1374;337403.2716;0.650119124;209612.4244;0.135903008;19012.72197;14975.32317;175624.3792;0.11386673;48939.20751;201871.4751;0;-1419.69265;-76605.99603;-0.049667787;-76605.99603;-0.049667787
MAYO;422621.5604;1226236.36;8845.81;1657703.73;55466.70603;100910.5629;4399.643;160776.9119;0.096987724;1496926.818;149010.9576;192493.5394;0;341504.497;0.228137069;1155422.321;0.771862931;1024430.837;497259.3664;191190.0956;335981.3752;0.684355992;130991.4842;0.087506939;19377.75531;16076.17762;95537.55128;0.06382246;52089.05969;202899.2162;0;18068.37526;-141382.3493;-0.094448404;-141382.3493;-0.094448404
JUNIO;367922.999;1274956.348;18432.699;1661312.046;34274.76919;117749.0039;4184.28899;156208.0621;0.094026924;1505103.983;141210.5071;208258.078;0;349468.5851;0.232188998;1155635.398;0.767811002;981420.4872;341090.0901;190391.9104;449938.4867;0.652061584;174214.9112;0.115749419;20878.6643;16076.17762;137260.0693;0.091196403;52052.94276;213832.4004;0;5413.7586;-123211.5153;-0.08186246;-123211.5153;-0.08186246
Q2;1069938.137;3862343.554;36669.315;4968951.006;105259.0758;305033.5281;14259.78789;424552.3918;0.256209582;4544398.613;436752.1898;584253.469;0;1021005.659;0.674303935;3523392.954;2.325696065;3008574.135;1298462.859;586788.1434;1123323.134;1.9865367;514818.8198;0.339159366;59269.14158;47127.67841;408421.9998;0.268885593;153081.21;618603.0917;0;22062.44121;-341199.8606;-0.225978651;-341199.8606;-0.225978651
S1;2094146.829;7562171.975;95386.21266;9751705.016;158678.571;515660.2722;34127.07715;708465.9205;0.435576526;9043239.094;891636.5358;1254145.553;0;2145782.088;1.427632388;6897457.007;4.572367612;5861381.823;2693095.444;1081199.038;2087087.341;3.894220715;1036075.184;0.678146898;117770.3759;88543.69459;829761.1134;0.541174318;288284.629;1206091.468;0;74975.6138;-589639.3698;-0.40320796;-589639.3698;-0.40320796
JULIO;555256.19;1290630.805;20041.8;1865928.795;12485.938;83626.67118;5145;101257.6092;0.054266599;1764671.186;202039.349;229318.3996;0;431357.7486;0.244440864;1333313.437;0.755559136;1000442.961;468181.8874;226838.8135;305422.2601;0.566928825;332870.4761;0.188630312;20121.5643;10059.07028;302689.8415;0.171527616;53416.9956;186264.1019;0;35152.29825;98161.04225;0.055625684;98161.04225;0.055625684
